description,segment,category,subcategory
CAFE 3 CORACOES EXTRA FORTE LV500 PG475G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES EXTRA FORTE LV500 PG475G
CAFE 3 CORACOES EXTRA FORTE VACUO   250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES EXTRA FORTE VACUO   250G
CAFE 3 CORACOES EXTRA FORTE VACUO   500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES EXTRA FORTE VACUO   500G
CAFE 3 CORACOES GOURMET CERRADO MIN 250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES GOURMET CERRADO MIN 250G
CAFE 3 CORACOES GOURMET MOGIANA     250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES GOURMET MOGIANA     250G
CAFE 3 CORACOES GOURMET SUL MINAS   250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES GOURMET SUL MINAS   250G
CAFE 3 CORACOES GOURMET VACUO   PCT 250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES GOURMET VACUO   PCT 250G
CAFE 3 CORACOES PREMIUM ESTRADA REA 500G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES PREMIUM ESTRADA REA 500G
CAFE 3 CORACOES SOLUVEL DESCAFE SACH 50G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES SOLUVEL DESCAFE SACH 50G
CAFE 3 CORACOES SOLUVEL LIOFILIZ REF 50G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES SOLUVEL LIOFILIZ REF 50G
