description,segment,category,subcategory
SAB DOVE 550G REGULAR,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB DOVE 550GREGULAR
SAB JeJ 80G ERVA DOCE,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB JeJ 80GERVA DOCE
SAB JOHNS 80G AMENDOA,1-BENS DE CONSUMO,31-HIGIENE PESSOAL,78-HIGIENE CORPORAL SABONETE SAB JOHNS 80GAMENDOA
ALVEJANTE BRILUX 1L FLORAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA ALVEJANTE ALVEJANTE BRILUX 1LFLORAL
ALVEJANTE BRILUX 2L FLORAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA ALVEJANTE ALVEJANTE BRILUX 2LFLORAL
ALVEJANTE VANISH 1 2L PINK,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA ALVEJANTE ALVEJANTE VANISH 12L PINK
AM COMF FIBER PROTECT 1 5L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AM COMF FIBER PROTECT 15L
AM FOFO CHAMG AZ AZUL 1 8L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AM FOFO CHAMG AZ AZUL 18L
AMAC DOWNY 500 AGUA FRESCA,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC DOWNY 500AGUA FRESCA
AMAC SONHO MAGIC AZUL 1 5L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC SONHO MAGIC AZUL 15L
AMAC YPE L2L P1 6L INTENSO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC YPE L2L P16L INTENSO
AMAC YPE L2L P1 6L TERNURA,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMAC YPE L2L P16L TERNURA
AMACIANTE BRETAS 2L FLORAL,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE BRETAS 2LFLORAL
AMACIANTE YPE 2L ACONCHEGO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE YPE 2LACONCHEGO
AMACIANTE YPE CONC 1L BLUE,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE AMACIANTE YPE CONC 1LBLUE
DOWNY NATURALS B R  1 350L,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA AMACIANTE DOWNY NATURALS B R  1350L
OMO SANIT CX VERDE 2 2KG,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS OMO SANIT CX VERDE 22KG
SABAO LIQ OMO 900ML BEBE,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO LIQ OMO 900MLBEBE
SABAO LIQ OMO 900ML COCO,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO LIQ OMO 900MLCOCO
SABAO PO OMO 800g SPORTS,1-BENS DE CONSUMO,32-PRODUTOS DE LIMPEZA,79-LAVANDERIA LAVA ROUPAS SABAO PO OMO 800gSPORTS
JOGO 2 TOALHAS BANHO LK COM CAPUZ,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA JOGO 2 TOALHAS BANHO LK COM CAPUZ
TOALHA BANHO ROYAL PATTER AMARELO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA BANHO ROYAL PATTER AMARELO
TOALHA BANHO TEKA DRY ALICE VERDE,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA BANHO TEKA DRY ALICE VERDE
TOALHA BANHO TEKA DRY ALICE VINHO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA BANHO TEKA DRY ALICE VINHO
TOALHA DE BANHO LINEA CAMESA AZUL,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA DE BANHO LINEA CAMESA AZUL
TOALHA DE BANHO LINEA CAMESA BEGE,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA DE BANHO LINEA CAMESA BEGE
TOALHA DE ROSTO LINEA AZUL CAMESA,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA DE ROSTO LINEA AZUL CAMESA
TOALHA DE ROSTO LINEA BEGE CAMESA,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA DE ROSTO LINEA BEGE CAMESA
TOALHA ROSTO ROYAL PATTER AMARELO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA ROSTO ROYAL PATTER AMARELO
TOALHA ROSTO TEKA DRY ALICE VERDE,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA ROSTO TEKA DRY ALICE VERDE
TOALHA ROSTO TEKA DRY ALICE VINHO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,93-BANHO TOALHA TOALHA ROSTO TEKA DRY ALICE VINHO
ALMOFADA MICROFIBRA 40X40 MARROM,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA ALMOFADA ALMOFADA MICROFIBRA 40X40 MARROM
FRONHA CAMESA MICROFIBRA SORT LISA,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA FRONHA FRONHA CAMESA MICROFIBRA SORT LISA
FRONHA MF AVULSA CAMESA ANGRA PV21,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA FRONHA FRONHA MF AVULSA CAMESA ANGRA PV21
FRONHA MF AVULSA CAMESA VIOLA PV20,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA FRONHA FRONHA MF AVULSA CAMESA VIOLA PV20
MANTA MEMBERS MARK 2X76X101CM CAO/G,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA MANTA MANTA MEMBERS MARK 2X76X101CM CAO/G
MANTA QUE BRILHA NO ESCURO INFANTIL,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA MANTA MANTA QUE BRILHA NO ESCURO INFANTIL
TRAVESSEIRO CERVICAL FIBRASCA,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO CERVICAL FIBRASCA
TRAVESSEIRO LESTESPUMA PLUTAO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO LESTESPUMA PLUTAO
TRAVESSEIRO ORTOBOM BELO SONO,2-CASA E CONSTRUCAO,38-CAMA MESA E BANHO,94-CAMA TRAVESSEIRO TRAVESSEIRO ORTOBOM BELO SONO
AMEND CROC PETTIZ 1 01KG PC CEBOLA/SALSA,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES AMEND CROC PETTIZ 101KG PC CEBOLA/SALSA
AMENDOIM YOKI JAPON EMB ECON PCT 1 010KG,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES AMENDOIM YOKI JAPON EMB ECON PCT 1010KG
BALA FRUIT TELLA LIFE CARAMELO  CX18 9GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BALA FRUIT TELLA LIFE CARAMELO  CX189GR
BALA FRUIT TELLA LIFE STRAMBERRYCX18 9GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BALA FRUIT TELLA LIFE STRAMBERRYCX189GR
BALA MENTOS FRUTAS              AV37 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BALA MENTOS FRUTAS              AV375GR
BALA MENTOS RAINBOW           AV  37 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BALA MENTOS RAINBOW           AV  375GR
CONFEITO MENTOS STIK 37 5G UN FRUTAS VRM,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CONFEITO MENTOS STIK 375G UN FRUTAS VRM
DROPS HALLS UN.EXTRA FORTE      TB27 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES DROPS HALLS UN.EXTRA FORTE      TB275GR
PASTILHA MENTOS STICK 37 5G TUTTI FRUTTI,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES PASTILHA MENTOS STICK 375G TUTTI FRUTTI
PASTILHA TRIDENT MINTS MENTA   AV 22 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES PASTILHA TRIDENT MINTS MENTA   AV 225GR
PASTILHA TRIDENT MINTS MORAN.  AV 22 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES PASTILHA TRIDENT MINTS MORAN.  AV 225GR
WAFER ISABELA CHOCKS CHOC. BR.  CX100 8G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCED WAFER ISABELA CHOCKS CHOC. BR.  CX1008G
WAFER ISABELA CHOCKS COB. CHOCO CX100 8G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCED WAFER ISABELA CHOCKS COB. CHOCO CX1008G
BISC RICHESTER AMORI WAFER CHO BCO 100 8,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BISC RICHESTER AMORI WAFER CHO BCO 1008
BISC WAFER PIRAQUE 100 8G CHOCOWAFER BCO,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BISC WAFER PIRAQUE 1008G CHOCOWAFER BCO
BOMBOM LACTA FAVORITOS         CX250 6GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BOMBOM LACTA FAVORITOS         CX2506GR
BOMBOM LACTA TRUFAS SORTIDAS   CX 103 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BOMBOM LACTA TRUFAS SORTIDAS   CX 1035G
BIS LACTA BLACK                CX100 8GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BIS LACTA BLACK                CX1008GR
BIS LACTA OREO                 CX100 8GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BIS LACTA OREO                 CX1008GR
BOMBOM ARCOR TORTUGUITA         CX134 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES BOMBOM ARCOR TORTUGUITA         CX1345G
CHOC TORTUGUITA 15 5G 7BELO BCO FRAMBOES,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC TORTUGUITA 155G 7BELO BCO FRAMBOES
CHOC. KINDER TABLETE T-1       TB 12 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. KINDER TABLETE T-1       TB 125GR
CHOC. NESTLE BARRINHA CRUNCH    BR 22 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. NESTLE BARRINHA CRUNCH    BR 225G
CHOC. NESTLE KIT KAT BRANCO     BR 41 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. NESTLE KIT KAT BRANCO     BR 415G
CHOC. NESTLE KIT KAT CHO.BR/LIM.BR 41 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. NESTLE KIT KAT CHO.BR/LIM.BR 415G
CHOC. NESTLE KIT KAT DARK       BR 41 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. NESTLE KIT KAT DARK       BR 415G
CHOC. NESTLE KIT KAT GOLD       BR 41 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. NESTLE KIT KAT GOLD       BR 415G
CHOC. NESTLE KIT KAT LEITE      BR 41 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. NESTLE KIT KAT LEITE      BR 415G
CHOC. NESTLE KIT KAT MORANGO    BR 41 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. NESTLE KIT KAT MORANGO    BR 415G
CHOC. SNICKERS                  PE21 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. SNICKERS                  PE215GR
CHOC. TWIX PACOCA               PE 39 7G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHOC. TWIX PACOCA               PE 397G
CHIC TRIDENT 14S INTENSE 26 6G  BLUEBERR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHIC TRIDENT 14S INTENSE 266G  BLUEBERR
CHIC TRIDENT 14S INTENSE 26 6G FRAMBOESA,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES CHIC TRIDENT 14S INTENSE 266G FRAMBOESA
G. M. MENTOS 3L MOR./MAC./FRAMB.AV 8 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. MENTOS 3L MOR./MAC./FRAMB.AV 85GR
G. M. MENTOS 3L SPEARMINT      AV  8 5GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. MENTOS 3L SPEARMINT      AV  85GR
G. M. TRIDENT C/14 FRES.INTENSE CX 26 6G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT C/14 FRES.INTENSE CX 266G
G. M. TRIDENT C/14 LAR/FRAMB.   CX26 6GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT C/14 LAR/FRAMB.   CX266GR
G. M. TRIDENT C/14 LIM/BLUEB.   CX26 6GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT C/14 LIM/BLUEB.   CX266GR
G. M. TRIDENT C/18 BLUEBERRY    CX30 6GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT C/18 BLUEBERRY    CX306GR
G. M. TRIDENT C/18 SPEARMINT    CX30 6GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT C/18 SPEARMINT    CX306GR
G. M. TRIDENT C/18 WATERMELON   CX30 6GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT C/18 WATERMELON   CX306GR
G. M. TRIDENT MAX HORTELA       AV 16 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT MAX HORTELA       AV 165G
G. M. TRIDENT MAX MENTA/BLUEB.  AV 16 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES G. M. TRIDENT MAX MENTA/BLUEB.  AV 165G
GOMA MASC MENTOS PURE 8 5G UN STRONGMINT,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASC MENTOS PURE 85G UN STRONGMINT
GOMA MASCAR MENTOS 3 CAMADA F.SPEAR 8 5G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASCAR MENTOS 3 CAMADA F.SPEAR 85G
GOMA MASCAR MENTOS 3 CAMADAS P.FRESH 8 5,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASCAR MENTOS 3 CAMADAS P.FRESH 85
GOMA MASCAR MENTOS 3 CAMADAS P.FRUIT 8 5,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASCAR MENTOS 3 CAMADAS P.FRUIT 85
GOMA MASCAR TRIDENT 26 6G XSEN BLUE L P-,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASCAR TRIDENT 266G XSEN BLUE L P-
GOMA MASCAR TRIDENT 26 6G XSEN FRAM L P-,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASCAR TRIDENT 266G XSEN FRAM L P-
GOMA MASCAR TRIDENT C/5 16 5G MENTA BLUE,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASCAR TRIDENT C/5 165G MENTA BLUE
GOMA MASCAR TRIDENT X FRESH INTENSE 26 6,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GOMA MASCAR TRIDENT X FRESH INTENSE 266
GRANULADO HIG.CAREPET MADEIRA  PE 2 5 KG,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES GRANULADO HIG.CAREPET MADEIRA  PE 25 KG
IO-IO MIX CHOC.E AVELA C/CH.BCO PT63 6GR,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES IO-IO MIX CHOC.E AVELA C/CH.BCO PT636GR
DOCE PACOQUITA ROLHA EMBD 1 5KG-CX C/100,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES DOCE PACOQUITA ROLHA EMBD 15KG-CX C/100
VALDA C  24G,1-BENS DE CONSUMO,6-MERCEARIA,17-DOCES SALGADOS E BOMBONIERE BALA VALDA C  24G
VARAL KREA C/12 PRENDEDORES,2-CASA E CONSTRUCAO,47-BANHEIRO COZINHA E LAVANDERIA,213-LAVANDERIA VARAL VARAL KREA C/12 PRENDEDORES
LAMEN MIOJO CREMOSO 88g FRANGO,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO LAMEN MIOJO CREMOSO 88gFRANGO
LAMEN MIOJO MONICA 85G GALINHA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO LAMEN MIOJO MONICA 85GGALINHA
LAMEN NISSIN MIOJO 85g COSTELA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO LAMEN NISSIN MIOJO 85gCOSTELA
LAMEN NISSIN MIOJO 85g GALINHA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO LAMEN NISSIN MIOJO 85gGALINHA
LAMEN NISSIN MIOJO 85g LEGUMES,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO LAMEN NISSIN MIOJO 85gLEGUMES
LAMEN NISSIN MIOJO 85g PICANHA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO LAMEN NISSIN MIOJO 85gPICANHA
LAMEN NOSSO SABOR 74G MP CARNE,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO LAMEN NOSSO SABOR 74G MPCARNE
MAC ADRIA 500G SEM C/OVOS PENA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC ADRIA 500G SEMC/OVOS PENA
MAC ADRIA OVOS 500G TORTILHONE,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC ADRIA OVOS 500GTORTILHONE
MAC BASILAR 500G SEM AVE MARIA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC BASILAR 500G SEMAVE MARIA
MAC BASILAR 500G SEM AVE MARIA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC BASILAR 500G SEMAVE MARIA
MAC BASILAR 500G SEM ESPAGUETE,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC BASILAR 500G SEMESPAGUETE
MAC GALO 500G SEM INT PARAFUSO,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC GALO 500G SEMINT PARAFUSO
MAC GALO 500G SEM PARAF TRICOL,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC GALO 500G SEMPARAF TRICOL
MAC INST BASILAR 74 3G GALINHA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC INST BASILAR 743G GALINHA
MAC INST CUP NOODLES 70G CURRY,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC INST CUP NOODLES 70GCURRY
MAC LAM FORTALEZA GALINHA 74 3,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC LAM FORTALEZA GALINHA 743
MAC PETYBON 500G OVOS LINGUINE,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC PETYBON 500G OVOSLINGUINE
MAC PETYBON 500G OVOS PARAFUSO,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC PETYBON 500G OVOSPARAFUSO
MAC RENATA 500G OVOS 5 FURADIN,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC RENATA 500G OVOS5 FURADIN
MAC RENATA 500G OVOS AVE MARIA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MAC RENATA 500G OVOSAVE MARIA
MACARRAO INST BRETAS 85G CALAB,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MACARRAO INST BRETAS 85GCALAB
MACARRAO INST BRETAS 85G CARNE,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MACARRAO INST BRETAS 85GCARNE
MASSA PIRAQUE OVOS 500G ARGOLA,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO MASSA PIRAQUE OVOS 500GARGOLA
VITARELLA LAMEN CARNE 50X74 3G,1-BENS DE CONSUMO,6-MERCEARIA,21-MASSAS MACARRAO VITARELLA LAMEN CARNE 50X743G
ACAI TRIBOMIX 1 5LT,1-BENS DE CONSUMO,8-PREPARADOS E CONGELADOS,30-SORVETES E SOBREMESAS ACAI ACAI TRIBOMIX 15LT
AGUA BONAFONT 1 27L C/GAS TROP FRESH,1-BENS DE CONSUMO,17-AGUA MINERAL,54-AGUA AGUA AGUA BONAFONT 127L C/GAS TROP FRESH
AGUA MIN BONAFONT 1 270ML C/GAS TANG,1-BENS DE CONSUMO,17-AGUA MINERAL,54-AGUA AGUA AGUA MIN BONAFONT 1270ML C/GAS TANG
AGUA MIN SAO LOURENCO C/GAS FC 1 26L,1-BENS DE CONSUMO,17-AGUA MINERAL,54-AGUA AGUA AGUA MIN SAO LOURENCO C/GAS FC 126L
AGUA SANIT YPE LEVE 2L PAGUE 1 800ML,1-BENS DE CONSUMO,17-AGUA MINERAL,54-AGUA AGUA AGUA SANIT YPE LEVE 2L PAGUE 1800ML
AGUA SERRA NEGRA 1 5L HIDRATTA S/GAS,1-BENS DE CONSUMO,17-AGUA MINERAL,54-AGUA AGUA AGUA SERRA NEGRA 15L HIDRATTA S/GAS
AGUA SERRAS DE CUNHA 1 5L C/ GAS PET,1-BENS DE CONSUMO,17-AGUA MINERAL,54-AGUA AGUA AGUA SERRAS DE CUNHA 15L C/ GAS PET
AGUA SERRAS DE CUNHA 1 5L S/ GAS PET,1-BENS DE CONSUMO,17-AGUA MINERAL,54-AGUA AGUA AGUA SERRAS DE CUNHA 15L S/ GAS PET
CERV BRAHMA 0 0  ALCOOL 350ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,55-CERVEJAS CERVEJA CERV BRAHMA 00  ALCOOL 350ML
CERVEJA HEINEKEN 0 0 350ML LT,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,55-CERVEJAS CERVEJA CERVEJA HEINEKEN 00 350ML LT
CERVEJA HEINEKEN 330ML LN 0 0,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,55-CERVEJAS CERVEJA CERVEJA HEINEKEN 330ML LN 00
CERVEJA HEINEKEN 330ML LN 0 0,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,55-CERVEJAS CERVEJA CERVEJA HEINEKEN 330ML LN 00
WALS SESSION ONE WAY  600ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,55-CERVEJAS CERVEJAD WALS SESSION ONE WAY  600ML
WHIS ESC BUCHANANS 12AN 1L,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHIS ESC BUCHANANS 12AN 1L
WHIS ESC WHITE HORSE 500ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHIS ESC WHITE HORSE 500ML
WHISKY BLACKeWHITE 1 LITRO,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY BLACKeWHITE 1 LITRO
WHISKY ESC BLACKeWHITE 1LT,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY ESC BLACKeWHITE 1LT
WHISKY ESC J.WALKER RED 1L,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY ESC J.WALKER RED 1L
WHISKY ESC WHITE HORSE 1LT,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY ESC WHITE HORSE 1LT
WHISKY J W BLACK LAB 750ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY J W BLACK LAB 750ML
WHISKY J W RED LABEL 750ML,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY J W RED LABEL 750ML
WHISKY J.W 750ML RED LABEL,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY J.W 750ML RED LABEL
WHISKY OLD PARR 12 ANOS 1L,1-BENS DE CONSUMO,18-BEBIDAS ALCOOLICAS,56-DESTILADOD WHISKYD WHISKY OLD PARR 12 ANOS 1L
E MATE TRAD LAM 1KG,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,57-BEBIDAS QUENTES ERVA MATE E MATE TRAD LAM 1KG
EMATE C/ ACUCAR 1KG,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,57-BEBIDAS QUENTES ERVA MATE EMATE C/ ACUCAR 1KG
ERVA MATE BARAO 1kg,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,57-BEBIDAS QUENTES ERVA MATE ERVA MATE BARAO 1kg
BEB MAQ 3 CORACOES C/10 CAFE C/LEIT,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE BEB MAQ 3 CORACOES C/10 CAFE C/LEIT
BEB MAQ 3 CORACOES C/10 CHOCO QUENT,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE BEB MAQ 3 CORACOES C/10 CHOCO QUENT
BEB MAQ ILLY C/10 ESPRESSO CLASSICO,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE BEB MAQ ILLY C/10 ESPRESSO CLASSICO
BEB MAQ PILAO 104G CAFE ESPRESSO 12,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE BEB MAQ PILAO 104G CAFE ESPRESSO 12
BEB MAQ STARBUCKS C/10 CAFFE VERONA,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE BEB MAQ STARBUCKS C/10 CAFFE VERONA
CAFE 3 CORAC GOURMET CERR SUL DE MG,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORAC GOURMET CERR SUL DE MG
CAFE 3 CORACOES A VACUO DESCAF 250G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES A VACUO DESCAF 250G
CAFE 3 CORACOES CAPUCCINO BAUN 200G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES CAPUCCINO BAUN 200G
CAFE 3 CORACOES EXPR ATENTO CAPS 8G,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,58-CAFE CAFE CAFE 3 CORACOES EXPR ATENTO CAPS 8G
