new_subcategory,family,category,segment
PROTETOR AURICULAR,101-EPI,43-EQUIPAMENTOS,2-CASA E CONSTRUCAO
LIXA PROFISSIONAL,103-ACESSORIOS DE PINTURA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
PINCEL,103-ACESSORIOS DE PINTURA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
ROLO,103-ACESSORIOS DE PINTURA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
CHAVE FERRAMENTA,105-FERRAMENTAS DE CONSTRUCAO E CARPINTARIA,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
BORRIFADOR/PULVERIZADOR,106-FERRAMENTAS DE JARDINAGEM,44-FERRAGENS E FERRAMENTAS,2-CASA E CONSTRUCAO
OUTRO,107-DIVERSOS HOME CENTER,45-DIVERSOS HOME CENTER,2-CASA E CONSTRUCAO
OVO,10-GRANJA,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
PASTILHA,110-PISOS E REVESTIMENTOS,46-ACABAMENTO,2-CASA E CONSTRUCAO
PISO,110-PISOS E REVESTIMENTOS,46-ACABAMENTO,2-CASA E CONSTRUCAO
CHUVEIROS E DUCHAS,111-CHUVEIROS E DUCHAS,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
ASSENTO SANITARIO,112-LOUCAS SANITARIAS,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
ACESSORIOS DE ELETRICA,115-ACESSORIOS DE ELETRICA,49-ELETRICA,2-CASA E CONSTRUCAO
SOQUETE,116-DUTOS E FIACAO,49-ELETRICA,2-CASA E CONSTRUCAO
INTERRUPTOR,118-QUADROS E INTERRUPTORES,49-ELETRICA,2-CASA E CONSTRUCAO
TOMADA,118-QUADROS E INTERRUPTORES,49-ELETRICA,2-CASA E CONSTRUCAO
LEGUMES,11-LEGUMES,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
RALO,122-CAIXAS E RESERVATORIOS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
TORNEIRA,123-REGISTROS E VALVULAS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
VALVULA DE GAS,123-REGISTROS E VALVULAS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
VEDA ROSCA,123-REGISTROS E VALVULAS,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
MANGUEIRA DE GAS,124-TUBOS E CONEXOES,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
 SIFAO,124-TUBOS E CONEXOES,51-HIDRAULICA E GAS,2-CASA E CONSTRUCAO
CORANTE DE PINTURA,125-TINTAS E SOLVENTES,52-PINTURA E VEDACAO,2-CASA E CONSTRUCAO
TINTA,125-TINTAS E SOLVENTES,52-PINTURA E VEDACAO,2-CASA E CONSTRUCAO
SILICONE DE VEDACAO,126-VEDACAO E IMPERMEABILIZACAO ,52-PINTURA E VEDACAO,2-CASA E CONSTRUCAO
OUTRA VERDURA,12-VERDURAS,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
ASPIRADOR,130-ELETROPORTATEIS CASA,54-ELETROPORTATEIS,3-ELETROMOVEIS
FERRO DE PASSAR,130-ELETROPORTATEIS CASA,54-ELETROPORTATEIS,3-ELETROMOVEIS
BATEDEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
CAFETEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
CHALEIRAELETRICA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
ESPREMEDORDEFRUTAS,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
FORNOELETRICO,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
FRITADEIRAELETRICA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
LIQUIDIFICADOR,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
MULTIPROCESSADOR,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
OMELETEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
PANELAELETRICA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
PIPOQUEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
SANDUICHEIRA,131-ELETROPORTATEIS COZINHA,54-ELETROPORTATEIS,3-ELETROMOVEIS
CHAPINHA,132-ELETROPORTATEIS USO,54-ELETROPORTATEIS,3-ELETROMOVEIS
ESCOVASECADORA,132-ELETROPORTATEIS USO,54-ELETROPORTATEIS,3-ELETROMOVEIS
SECADOR,132-ELETROPORTATEIS USO,54-ELETROPORTATEIS,3-ELETROMOVEIS
FOGAO,133-APARELHOS DE COZINHA,55-LINHA BRANCA,3-ELETROMOVEIS
MICRO-ONDAS,133-APARELHOS DE COZINHA,55-LINHA BRANCA,3-ELETROMOVEIS
AQUECEDOR,134-CLIMATIZACAO,55-LINHA BRANCA,3-ELETROMOVEIS
AR CONDICIONADO,134-CLIMATIZACAO,55-LINHA BRANCA,3-ELETROMOVEIS
VENTILADOR,134-CLIMATIZACAO,55-LINHA BRANCA,3-ELETROMOVEIS
MAQUINA DE LAVAR,135-LAVANDERIA,55-LINHA BRANCA,3-ELETROMOVEIS
ACESSORIO,136-AUDIO,56-AUDIO E VIDEO,3-ELETROMOVEIS
ACESSORIO DE VIDEO,137-VIDEO,56-AUDIO E VIDEO,3-ELETROMOVEIS
TELEVISAO,137-VIDEO,56-AUDIO E VIDEO,3-ELETROMOVEIS
138-CELULARES E TELECOM CELULAR,138-CELULARES E TELECOM CELULAR,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
OUTRO TELEFONIA,138-CELULARES E TELECOM ,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
ACESSORIO DE INFORMATICA,139-INFORMATICA E PERIFERICOS,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
CAIXA DE SOM,139-INFORMATICA E PERIFERICOS,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
CARTUCHO DE IMPRESSAO,139-INFORMATICA E PERIFERICOS,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
FONE DE OUVIDO,139-INFORMATICA E PERIFERICOS,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
IMPRESSORA,139-INFORMATICA E PERIFERICOS,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
MOUSE,139-INFORMATICA E PERIFERICOS,57-INFORMATICA E TELEFONIA,3-ELETROMOVEIS
OUTRO ACUCAR,13-ACUCAR,6-MERCEARIA,1-BENS DE CONSUMO
BANCO,142-COZINHA E AREA DE SERVICO ,60-AMBIENTES INTERNOS,3-ELETROMOVEIS
CADEIRA DE ESCRITORIO,143-OFFICE E HOME OFFICE,60-AMBIENTES INTERNOS,3-ELETROMOVEIS
ESTANTE,143-OFFICE E HOME OFFICE,60-AMBIENTES INTERNOS,3-ELETROMOVEIS
SUPORTE TV,145-SALA DE ESTAR,60-AMBIENTES INTERNOS,3-ELETROMOVEIS
OCULOS NATACAO,147-ARTIGOS DE PROTECAO,61-ARTIGOS ESPORTIVOS,4-FASHION E ESPORTIVO
BOLA,149-BOLAS E ACESSORIOS,61-ARTIGOS ESPORTIVOS,4-FASHION E ESPORTIVO
OUTRO AZEITE E OLEOS,14-AZEITE E OLEOS,6-MERCEARIA,1-BENS DE CONSUMO
COLCHAO/COLCHONETE,151-CAMPING CACA E PESCA,62-BEBIDAS LACTEAS,4-FASHION E ESPORTIVO
LENHA,151-CAMPING CACA E PESCA,62-BEBIDAS LACTEAS,4-FASHION E ESPORTIVO
 SACO DE DORMIR,151-CAMPING CACA E PESCA,62-BEBIDAS LACTEAS,4-FASHION E ESPORTIVO
CALCA,155-MODA FITNESS,63-VESTUARIO ESPORTIVO,4-FASHION E ESPORTIVO
LEGGING,155-MODA FITNESS,63-VESTUARIO ESPORTIVO,4-FASHION E ESPORTIVO
TOP,155-MODA FITNESS,63-VESTUARIO ESPORTIVO,4-FASHION E ESPORTIVO
TOUCA DE NATACAO,156-ROUPAS AQUATICAS,63-VESTUARIO ESPORTIVO,4-FASHION E ESPORTIVO
CAMISA TERMICA,157-ROUPAS FUNCIONAIS,63-VESTUARIO ESPORTIVO,4-FASHION E ESPORTIVO
CHAPEU,158-ACESSORIOS DE CABECA,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
OUTRO ACESSORIO PARA CABELOS,158-ACESSORIOS DE CABECA,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
PRESILHA,158-ACESSORIOS DE CABECA,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
TIARA,158-ACESSORIOS DE CABECA,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
CACHECOL,159-ACESSORIOS DE FRIO,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
GORRO,159-ACESSORIOS DE FRIO,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
LUVA,159-ACESSORIOS DE FRIO,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
ALECRIM,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
BICARBONATO DE SODIO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
CALDO INDUSTRIALIZADO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
CANELA,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
COENTRO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
COLORIFICO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
CRAVO DA INDIA,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
CURRY,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
LOURO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
MANJERICAO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
OREGANO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
OUTRO CONDIMENTO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
SAL,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
TEMPERO PRONTO,15-CONDIMENTOS,6-MERCEARIA,1-BENS DE CONSUMO
BRINCO,160-JOIAS E BIJOUTERIA,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
PULSEIRA/CORRENTE,160-JOIAS E BIJOUTERIA,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
OCULOS,161-OTICA E RELOJOARIA,64-ACESSORIOS FASHION,4-FASHION E ESPORTIVO
BOTA,163-CALCADOS,65-CALCADOS,4-FASHION E ESPORTIVO
CHINELO,163-CALCADOS,65-CALCADOS,4-FASHION E ESPORTIVO
MEIA,163-CALCADOS,65-CALCADOS,4-FASHION E ESPORTIVO
PANTUFA,163-CALCADOS,65-CALCADOS,4-FASHION E ESPORTIVO
SAPATENIS,163-CALCADOS,65-CALCADOS,4-FASHION E ESPORTIVO
SAPATILHA,163-CALCADOS,65-CALCADOS,4-FASHION E ESPORTIVO
BODY INFANTIL,164-MODA BABY,66-VESTUARIO,4-FASHION E ESPORTIVO
MANTA INFANTIL,164-MODA BABY,66-VESTUARIO,4-FASHION E ESPORTIVO
CALCINHA,165-MODA INTIMA,66-VESTUARIO,4-FASHION E ESPORTIVO
CUECA,165-MODA INTIMA,66-VESTUARIO,4-FASHION E ESPORTIVO
PIJAMA,165-MODA INTIMA,66-VESTUARIO,4-FASHION E ESPORTIVO
SUTIA,165-MODA INTIMA,66-VESTUARIO,4-FASHION E ESPORTIVO
BLUSA,166-MODA INVERNO,66-VESTUARIO,4-FASHION E ESPORTIVO
CALCA,166-MODA INVERNO,66-VESTUARIO,4-FASHION E ESPORTIVO
CARDIGAN/SUETER,166-MODA INVERNO,66-VESTUARIO,4-FASHION E ESPORTIVO
COLETE,166-MODA INVERNO,66-VESTUARIO,4-FASHION E ESPORTIVO
JAQUETA,166-MODA INVERNO,66-VESTUARIO,4-FASHION E ESPORTIVO
MEIA CALCA,166-MODA INVERNO,66-VESTUARIO,4-FASHION E ESPORTIVO
OUTRA MODA PRAIA,167-MODA PRAIA,66-VESTUARIO,4-FASHION E ESPORTIVO
SOCIAL CAMISA,168-MODA SOCIAL,66-VESTUARIO,4-FASHION E ESPORTIVO
BERMUDA,169-MODA VERAO,66-VESTUARIO,4-FASHION E ESPORTIVO
CAMISA POLO,169-MODA VERAO,66-VESTUARIO,4-FASHION E ESPORTIVO
CAMISETA,169-MODA VERAO,66-VESTUARIO,4-FASHION E ESPORTIVO
REGATA,169-MODA VERAO,66-VESTUARIO,4-FASHION E ESPORTIVO
 SHORT,169-MODA VERAO,66-VESTUARIO,4-FASHION E ESPORTIVO
TOP,169-MODA VERAO,66-VESTUARIO,4-FASHION E ESPORTIVO
VESTIDO,169-MODA VERAO,66-VESTUARIO,4-FASHION E ESPORTIVO
AZEITONA,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
CONSERVA DOCE,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
ERVILHA EM CONSERVA,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
MILHO VERDE E ERVILHA EM CONSERVA,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
 MILHO VERDE EM CONSERVA,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
PALMITO,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
PROTEINA EM CONSERVA,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
VEGETAL EM CONSERVA,16-CONSERVAS,6-MERCEARIA,1-BENS DE CONSUMO
DOMESTICOS,16-UTENSILIOS,16-UTENSILIOS DOMESTICOS,1-BENS DE CONSUMO
AGUA OXIGENADA,170-CURATIVO E BANDAGENS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
CURATIVO ADESIVO,170-CURATIVO E BANDAGENS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
ESPARADRAPO,170-CURATIVO E BANDAGENS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
GAZE,170-CURATIVO E BANDAGENS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
SORO FISIOLOGICO,170-CURATIVO E BANDAGENS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
AGULHA DESCARTAVEL,171-DESCARTAVEIS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
LENCOL DESCARTAVEL,171-DESCARTAVEIS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
SERINGA DESCARTAVEL,171-DESCARTAVEIS ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
LUVA DESCARTAVEL,173-VESTUARIO E PROTECAO ,67-ENFERMAGEM E INSTRUMENTACAO,5-HEALTHCARE
OUTRO CUIDADOS DIARIOS,174-CUIDADOS DIARIOS ,68-HOMECARE,5-HEALTHCARE
BOLSA TERMICA,174-CUIDADOS DIARIOS ,68-HOMECARE,5-HEALTHCARE
INALADOR,174-CUIDADOS DIARIOS ,68-HOMECARE,5-HEALTHCARE
TERMOMETRO,174-CUIDADOS DIARIOS ,68-HOMECARE,5-HEALTHCARE
CARRINHO,179-MOBILIARIO HOSPITALAR E CLINICO,69-HOSPITALARES E CLINICOS,5-HEALTHCARE
OUTRO DOCES,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
GOMA MASCAR,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
AMENDOIM,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
APERITIVO,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
BALA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
BANANADA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
BISCOITO,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
BOMBOM,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
BOMBOM ,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
CEREAL MATINAL,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
CHOCOLATE,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
CREME DE AVELA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
DOCE DE AMENDOIM,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
GELEIA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
GELEIA DE MOCOTO,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
GOIABADA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
GOMA DE MASCAR,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
MEL,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
OUTRO DOCE,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
OVO DE PASCOA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
PACOCA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
PASTA DE AMENDOIM,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
PIPOCA PRONTA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
PIRULITO,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
SUSPIRO,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
TORRADA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
VEGETAL EM PALHA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
CESTA DE PASCOA,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
DOCE DE NATAL,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
MARIA MOLE,17-DOCES SALGADOS E BOMBONIERE,6-MERCEARIA,1-BENS DE CONSUMO
OUTRO LUBRIFICANTE OU ADSTRINGENTE,182-PALIATIVOS LUBRIFICANTE OU ADSTRINGENTE,71-MEDICAMENTOS,5-HEALTHCARE
OUTRO FARMA,184-OUTROS FARMA,72-OUTROS FARMA,5-HEALTHCARE
ANALGESICO,186-PALIATIVO VETERINARIO ,73-SAUDE ANIMAL,5-HEALTHCARE
OUTRO FARINACEOS,18-FARINACEOS,6-MERCEARIA,1-BENS DE CONSUMO
MINERAL,190-TERAPEUTICO,74-SUPLEMENTOS,5-HEALTHCARE
OUTRO HEALTHCARE,191-OUTROS HEALTHCARE,75-OUTROS HEALTHCARE,5-HEALTHCARE
FISIOTERAPIA,196-TRATAMENTO E RECUPERACAO ,76-CLINICAS E LABORATORIOS,5-HEALTHCARE
ALIMENTO PRONTO DE BEBE,19-ALIMENTOS E FORMULAS INFANTIS,6-MERCEARIA,1-BENS DE CONSUMO
CEREAL INFANTIL OU FARINHA LACTEA,19-ALIMENTOS E FORMULAS INFANTIS,6-MERCEARIA,1-BENS DE CONSUMO
FORMULA LACTEA,19-ALIMENTOS E FORMULAS INFANTIS,6-MERCEARIA,1-BENS DE CONSUMO
QUENTES,19-CAFE CHA E BEBIDAS,19-CAFE CHA E BEBIDAS QUENTES,1-BENS DE CONSUMO
CARNE BOVINA,1-ACOUGUE ,1-ACOUGUE E PEIXARIA,1-BENS DE CONSUMO
CARNE DE AVE,1-ACOUGUE ,1-ACOUGUE E PEIXARIA,1-BENS DE CONSUMO
CARNE OVINA,1-ACOUGUE ,1-ACOUGUE E PEIXARIA,1-BENS DE CONSUMO
CARNE SUINA,1-ACOUGUE ,1-ACOUGUE E PEIXARIA,1-BENS DE CONSUMO
CHARQUE E CARNE SECA,1-ACOUGUE ,1-ACOUGUE E PEIXARIA,1-BENS DE CONSUMO
1-BENS DE CONSUMO,1-BENS DE CONSUMO,6-MERCEARIA,1-BENS DE CONSUMO
1-BENS DE CONSUMO,1-BENS DE CONSUMO,19-CAFE CHA E BEBIDAS QUENTES,1-BENS DE CONSUMO
COGUMELO,207-OUTROS HORTIFRUTI,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
NOZES CASTANHAS E OUTRAS OLEAGINOSAS,207-OUTROS HORTIFRUTI,5-HORTIFRUTI (FLV),1-BENS DE CONSUMO
MASSA FRESCA,208-RESFRIADOS ,8-PREPARADOS E CONGELADOS,1-BENS DE CONSUMO
OUTRO RESFRIADO,208-RESFRIADOS ,8-PREPARADOS E CONGELADOS,1-BENS DE CONSUMO
PATE,208-RESFRIADOS ,8-PREPARADOS E CONGELADOS,1-BENS DE CONSUMO
SOBREMESA PRONTA RESFRIADA,208-RESFRIADOS ,8-PREPARADOS E CONGELADOS,1-BENS DE CONSUMO
OUTRO AUTOMOTIVO,209-AUTOMOTIVO,81-AUTOMOTIVO,6-PETROQUIMICA
ARROZ,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
CANJICA,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
ERVILHA SECA,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
FEIJAO,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
GRAO DE BICO,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
LENTILHA,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
MILHO,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
MILHO PARA PIPOCA,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
OUTRO GRAO,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
PIPOCA PARA MICROONDAS,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
SAGU,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
SOJA,20-GRAOS,6-MERCEARIA,1-BENS DE CONSUMO
CADEIRA,210-OUTROS AMBIENTES,82-DEMAIS AMBIENTES,3-ELETROMOVEIS
BRINQUEDO,211-DEMAIS BRINQUEDOS,12-BRINQUEDOS,1-BENS DE CONSUMO
RATOEIRA,212-ARMADILHAS,42-DIVERSOS FERRAMENTAS E EQUIPAMENTOS,2-CASA E CONSTRUCAO
CORDA DE VARAL,213-LAVANDERIA ,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
PRENDEDOR DE ROUPA,213-LAVANDERIA ,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
VARAL,213-LAVANDERIA ,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
VARAL DE CORDA,213-LAVANDERIA ,47-BANHEIRO COZINHA E LAVANDERIA,2-CASA E CONSTRUCAO
PORTA ESCOVA DE DENTES,215-ORGANIZADORES ,13-DIVERSOS BAZAR E DEPARTAMENTOS,1-BENS DE CONSUMO
SABONETEIRA,215-ORGANIZADORES ,13-DIVERSOS BAZAR E DEPARTAMENTOS,1-BENS DE CONSUMO
BACALHAU A PESO,216-FIAMBRERIA E SALSICHARIA,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
MIX DE FRIOS,216-FIAMBRERIA E SALSICHARIA,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
PROTEINA FATIADA,216-FIAMBRERIA E SALSICHARIA,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
QUEIJO FATIADO,216-FIAMBRERIA E SALSICHARIA,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
SUINO SALGADO DEFUMADO,216-FIAMBRERIA E SALSICHARIA,3-FRIOS E LATICINIOS,1-BENS DE CONSUMO
OUTRO INATIVO,217-SWIFT CONGELADOS,8-PREPARADOS E CONGELADOS,1-BENS DE CONSUMO
MACARRAO,21-MASSAS,6-MERCEARIA,1-BENS DE CONSUMO
MASSA DE ARROZ,21-MASSAS,6-MERCEARIA,1-BENS DE CONSUMO
MASSA DE LASANHA,21-MASSAS,6-MERCEARIA,1-BENS DE CONSUMO
MASSA DE PIZZA,21-MASSAS,6-MERCEARIA,1-BENS DE CONSUMO
CREME DE LEITE,22-MERCEARIA LACTEA,6-MERCEARIA,1-BENS DE CONSUMO
LEITE CONDENSADO,22-MERCEARIA LACTEA,6-MERCEARIA,1-BENS DE CONSUMO
LEITE EM PO,22-MERCEARIA LACTEA,6-MERCEARIA,1-BENS DE CONSUMO
EXTRATO TOMATE,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
KETCHUP,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
KIT MOLHOS,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MAIONESE,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MOLHO BARBECUE,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MOLHO INGLES,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MOLHO PARA SALADA,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MOLHO PIMENTA,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MOLHO SHOYU,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MOLHO TOMATE,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
MOSTARDA,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
OUTRO MOLHO,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
POLPA TOMATE,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
VINAGRE,23-MOLHOS E TEMPEROS DE MESA,6-MERCEARIA,1-BENS DE CONSUMO
ACHOCOLATADO,24-PREPAROS E COBERTURAS,6-MERCEARIA,1-BENS DE CONSUMO
CHOCOLATE EM PO,24-PREPAROS E COBERTURAS,6-MERCEARIA,1-BENS DE CONSUMO
COBERTURA PRONTA,24-PREPAROS E COBERTURAS,6-MERCEARIA,1-BENS DE CONSUMO
CORANTE ALIMENTAR,24-PREPAROS E COBERTURAS,6-MERCEARIA,1-BENS DE CONSUMO
DERIVADOS DO COCO SECO,24-PREPAROS E COBERTURAS,6-MERCEARIA,1-BENS DE CONSUMO
EMULSIFICANTE,24-PREPAROS E COBERTURAS,6-MERCEARIA,1-BENS DE CONSUMO
ESSENCIA ALIMENTAR,24-PREPAROS E COBERTURAS,6-MERCEARIA,1-BENS DE CONSUMO
