new_subcategory,family,category,segment
ESCOVA PENTE PARA CABELO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ESPONJA DE BANHO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
FRALDA ADULTO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
GERIATRICO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
HASTE FLEXIVEL,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
LENCO DE PAPEL,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
LIXA,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
PALITO PARA UNHA,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
PAPEL HIGIENICO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
PINCA,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
PRESERVATIVO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
REMOVEDOR DE ESMALTE,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ROUPA INTIMA DESCARTAVEL,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
TOUCA PARA BANHO,75-ACESSORIOS E DESCARTAVEIS,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
CREME DENTAL,76-HIGIENE BUCAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ENXAGUANTE,76-HIGIENE BUCAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
ESCOVA DE DENTES,76-HIGIENE BUCAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
FIO DENTAL,76-HIGIENE BUCAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
FIXADOR DE DENTADURA,76-HIGIENE BUCAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
KIT HIGIENE,76-HIGIENE BUCAL,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
CONDICIONADOR,77-HIGIENE CAPILAR,31-HIGIENE PESSOAL,1-BENS DE CONSUMO
